paper_id,gt_score,pred_score
92vMaHotTM,5.5,6.824839529909159
CkoomnLfpS,5.33,4.606922933397945
FyMjfDQ9RO,6.75,12.99999339192238
fMaEbeJGpp,2.5,-2.666660786617882
qZz7PKt4bE,3.0,4.3136102961987906
10vaHIOdEe,5.0,12.499993860355781
USGY5t7fwG,4.4,6.6034012341336865
2OMyAFjiJJ,6.0,7.979238853864707
rObkvzJxTG,5.5,7.321233415355868
thV5KRQFgQ,5.75,7.285638195425991
9mjZ800m7Y,6.5,12.499993805637779
dD6b5RREws,2.5,3.833532587734491
FPBce2P1er,6.75,12.999995934270224
GSUNPIw7Ad,6.0,5.976794475570623
9EqQC2ct4H,6.0,8.52297867615747
RWJX5F5I9g,8.0,7.438468701149717
HmwneoGoy9,5.25,12.499995671510856
5MBUmj5mTI,5.5,4.258161931334393
1F8xTfv6ah,5.25,7.2157066332372315
BPgK5XW1Nb,8.67,7.535407716227414
